model,run,idx,category,prompt,answer,ground_truth,correct,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_ms
gpt-4o,4,15,SYMBOLIC_TIME,Identify delays in agent response.,no,yes,0,283,1,0,284,309.2
gpt-4o,4,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,no,yes,0,360,1,0,361,298.9
gpt-4o,4,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,257,1,0,258,316.2
gpt-4o,4,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,392,1,0,393,613.9
gpt-4o,4,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,283,1,0,284,285.7
gpt-4o,4,45,SYMBOLIC_TIME,Was the 1 min response window honored?,yes,yes,1,287,1,0,288,329.6
gpt-4o,4,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,yes,yes,1,296,1,0,297,511.5
gpt-4o,4,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,240,1,0,241,307.5
gpt-4o,4,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,no,yes,0,291,1,0,292,271.4
gpt-4o,4,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,316,1,0,317,497.7
gpt-4o,4,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,239,1,0,240,330.9
gpt-4o,4,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,no,yes,0,223,1,0,224,241.7
gpt-4o,4,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,345,1,0,346,248.2
gpt-4o,4,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,515,1,0,516,455.5
gpt-4o,4,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,606,1,0,607,407.8
gpt-4o,4,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,419,1,0,420,386.1
gpt-4o,4,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,no,yes,0,189,1,0,190,291.9
gpt-4o,4,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,188,1,0,189,546.6
gpt-4o,4,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,239,1,0,240,410.6
gpt-4o,4,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,264,1,0,265,432.4
gpt-4o,4,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,yes,no,0,404,1,0,405,299.7
gpt-4o,4,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,188,2,0,190,337.7
gpt-4o,4,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,190,2,0,192,313.0
gpt-4o,4,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,259,2,0,261,341.5
gpt-4o,4,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,no,yes,0,218,1,0,219,439.6
gpt-4o,4,12,SYMBOLIC_TIME,Flag slow initial responses.,no,yes,0,358,2,0,360,290.9
gpt-4o,4,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,389,1,0,390,263.9
gpt-4o,4,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,243,1,0,244,272.9
gpt-4o,4,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,594,1,0,595,282.8
gpt-4o,4,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,no,no,1,309,2,0,311,921.3
gpt-4o,4,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,420,1,0,421,235.8
gpt-4o,4,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,266,2,0,268,310.0
gpt-4o,4,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,505,1,0,506,294.1
gpt-4o,4,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,188,1,0,189,292.6
gpt-4o,4,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,240,1,0,241,402.5
gpt-4o,4,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,594,1,0,595,307.4
gpt-4o,4,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,221,1,0,222,2509.3
gpt-4o,4,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,366,1,0,367,272.5
gpt-4o,4,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,no,no,1,131,1,0,132,525.0
gpt-4o,4,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,yes,yes,1,500,1,0,501,333.4
gpt-4o,4,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,291,1,0,292,359.6
gpt-4o,4,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,190,1,0,191,368.6
gpt-4o,4,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,no,yes,0,212,1,0,213,340.5
