prompt,category,subcategory,style,noise,params,top_category
"Check whether agent picked up that customer needed rebooking options due to delay, not general info.",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
"Detect whether the agent uses a confirming statement (e.g., “Thanks for detailing the defect”) then outlines next steps.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Flag if customer waited more than 16 minutes.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 16, ""unit"": ""minutes""}",SYMBOLIC_TIME
"Did the agent begin with an apology and acknowledgment, not just a scripted line?",SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
Spot threads that took over 30 replies.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 30}",SYMBOLIC_COUNT
"Check that agent correctly picked up that customer needed reset link resent, not account closure.",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
Did the agent's reply come through within the 21 hours cutoff?,SYMBOLIC_TIME,time_moderate,question,heavy,"{""threshold"": 21, ""unit"": ""hours""}",SYMBOLIC_TIME
Detect if the agent mixed up the delay with a cancellation or reroute request.,SEMANTIC_COMPREHENSION,llm_generated,instruction,medium,,SEMANTIC
Did the customer request a refund later that month?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
has this been flagged as 'urgent'?,SYMBOLIC_METADATA,meta_tag,question,heavy,"{""subtype"": ""tag"", ""value"": ""urgent""}",SYMBOLIC_METADATA
Evaluate based on the customer's past billing interactions across 50 tickets.,UNSUPPORTED,unsupported,instruction,heavy,,UNSUPPORTED
Identify poor respnse speed.,SYMBOLIC_TIME,time_implicit,instruction,heavy,"{""threshold"": 22, ""unit"": ""hrs""}",SYMBOLIC_TIME
Did the customer’s membership tier qualify them for instant refunds?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
Calculate the impact of this conversation on escalation over quarter.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"When internal notes are present, evaluate the warmth and clarity of the closing and whether it encouraged the customer to return if the fix fails.",HYBRID,llm_generated,instruction,none,,HYBRID
"Check that once resolution was delivered, agent didn’t overstay; they offered help then finished neatly.",SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Detect whether the agent immediately acknowledged the customer and said sorry about the billing mistake.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
How many times has this customer had subscription issues in previous tickets?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"Did the agent actually handle the cancellation request, not just copy-paste scripts?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
"If the return resolution time was over 2 weeks, determine whether the agent’s explanations showed understanding of the customer’s main blocker (refund timing, label, approval).",HYBRID,llm_generated,instruction,none,,HYBRID
Look for signs the agent sounded irritated or impatient in the initial troubleshooting.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Check if agent offered alternatives while still accurately addressing the cancellation ask at the end of the chat/call.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Forecast the customer's escalation trend over the next month.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
What is this customer's average purchase record across all tickets?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Confirm the thread had fewer than 14 messages.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 14}",SYMBOLIC_COUNT
Has this been flagged as 'sensitive'?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""sensitive""}",SYMBOLIC_METADATA
Did agent take responsibility and clearly state what actions were taken on customer’s behalf?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Was there a clear path forward on billing error stated right after greeting?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Check if the customer later escalated to a manager in another ticket.,UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
Assess based on the customer's billing records in the app.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Did the conversation stay under 19 messages?,SYMBOLIC_COUNT,count_moderate,question,light,"{""threshold"": 19}",SYMBOLIC_COUNT
"If the customer is confused, did the agent explain next steps in plain language without talking down to them?",SEMANTIC_TONE,llm_generated,question,light,,SEMANTIC
assess whether the 13 sec threshold was met,SYMBOLIC_TIME,time_explicit,instruction,medium,"{""threshold"": 13, ""unit"": ""sec""}",SYMBOLIC_TIME
"If the customer asks “so what now?”, did the agent lay out the next steps and then bring the chat to a proper end?",SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
"Detect whether the agent greeted, recognized the delay, and asked if they understood correctly, with no harsh wording.",SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Estimate the probability that this customer will renew within 30 days.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Flag if customer waited more than 11 hours.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 11, ""unit"": ""hours""}",SYMBOLIC_TIME
Assess whether agent ended the interaction appropriately despite being in greeting stage.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Did the customer wait too long??,SYMBOLIC_TIME,time_implicit,question,light,"{""threshold"": 18, ""unit"": ""sec""}",SYMBOLIC_TIME
"Check if the response includes a brief nod to how annoying a lost password is, then proceeds with resolution.",SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Was the conversation shorter or longer than 50 turns?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 50}",SYMBOLIC_COUNT
"Check whether agent interpreted customer’s ask right, and didn’t go off on unrelated policy or sales pitch during initial troubleshooting.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Did the agent acknowledge the customer’s frustration when delivering the password reset steps?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Did the agent avoid sending account-change info when user only lost password?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
did the agent acknowledge the escalation request and move it forward?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
Verify whether the claimant’s deductible amount matches their policy selection on file.,UNSUPPORTED,llm_generated,instruction,light,,UNSUPPORTED
"If customer asked for credit monitoring enrollment info, did agent provide it (or explain how) instead of sending them to random FAQs?",SEMANTIC_COMPREHENSION,llm_generated,question,heavy,,SEMANTIC
Test whether the reply met the 25 hrs requirement.,SYMBOLIC_TIME,time_explicit,instruction,light,"{""threshold"": 25, ""unit"": ""hrs""}",SYMBOLIC_TIME
Did the thread contain at least 7 messages?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 7}",SYMBOLIC_COUNT
"Did the agent acknowledge the delay immediately, not later?",SEMANTIC_EMPATHY,llm_generated,question,light,,SEMANTIC
"When the customer asks for immediate cancellation within the first 3 turns, did the agent respond courteously without stalling or sounding annoyed?",HYBRID,llm_generated,question,none,,HYBRID
Cross-reference this support ticket issue with Stripe data.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
Did agent misread the defect type (crack vs scratch) when outlining next actions?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
"In the initial response, did the agent clearly recap the shipping delay and verify key details (order date / promised ETA) to confirm they were on same page before moving on?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Check if agent confirmed understanding before proposing any shipping updates.,SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Predict cancel likelihood based on this complaint interaction.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Assess whether agent listened fully before proceeding with escalation steps.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Did the customer open another ticket about the same order number later?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
Pull the customer's credit score from ERP before evaluating.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
Verify the agent checked they had the right problem: package not arrived yet.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Detect whether the agent’s wording implied blame for cancelling.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
Is 'duplicate' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""duplicate""}",SYMBOLIC_METADATA
"When the cancellation reason is stated as 'too expensive' and the chat lasts 6+ turns, assess whether the agent remained courteous and professional.",HYBRID,llm_generated,instruction,light,,HYBRID
Was the conversation shorter or longer than 8 turns?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 8}",SYMBOLIC_COUNT
Watch for turn counts above 18.,SYMBOLIC_COUNT,count_moderate,instruction,light,"{""threshold"": 18}",SYMBOLIC_COUNT
What is the customer's login log in CRM?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Watch for reply times over 24 sec.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 24, ""unit"": ""sec""}",SYMBOLIC_TIME
"did the agant open with a greeting and immediate apology for the billing error, acknowledging the customer’s situation before moving into verification steps, and avoiding any language that blames the customer or downplays the mistake",SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
What does Stripe show for this customer's payment method?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"If customer wants to know if they should cancel card, did the agent give a specific recommendation and criteria, not vague advice?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
"On phone, when the call included payment method verification, judge whether the agent handled sensitive questions professionally and kept the return resolution on track.",HYBRID,llm_generated,instruction,none,,HYBRID
Verify the agent apologized for the billing error in the very first greeting message.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Determine whether the greeting validated the customer’s concern about a late shipment.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
"If the first response took over 10 minutes, did the agent acknowledge the customer's frustration about canceling the subscription?",HYBRID,llm_generated,question,light,,HYBRID
flag conversations with internal notes.,SYMBOLIC_METADATA,meta_notes,instruction,medium,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
Review any account security conversation with more than 5 turns and determine whether the agent’s overall tone was consistently professional and courteous.,HYBRID,llm_generated,instruction,light,,HYBRID
"If customer was upset about being locked out, did agent correctly diagnose it as lost password and provide the proper recovery route, including any security verification steps and expected timelines, without implying the customer did something wrong?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Verify ticket has 'legal' status.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""legal""}",SYMBOLIC_METADATA
"Based on this conversation, will the customer's loyalty points change?",UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
check if the agent addressed customer’s concerns about refund timing at the start of troubleshooting.,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Was the 4 sec response window honored?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 4, ""unit"": ""sec""}",SYMBOLIC_TIME
Check if agent started with recognition of the escalation request and an active-listening statement.,SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
Did the agent respond within 17 sec?,SYMBOLIC_TIME,time_explicit,question,medium,"{""threshold"": 17, ""unit"": ""sec""}",SYMBOLIC_TIME
"For upgrade-request converaations resolvef after more than 4 hours, determine whether misundetstandibgs were svoidwd through accuraye comprehension...",HYBRID,llm_generated,instruction,heavy,,HYBRID
Evaluate if agent kept customer from repeating themselves during escalation request.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
"Did the agnet stay absolute and clear: acknowledged locked account + escalation request, no vague maybes, no side tracks?",SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
Count the number of agent responses and compare to 11.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 11}",SYMBOLIC_COUNT
Did the customer come back with the same return issue within 90 days?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Did the rep confirm a cancellation reference/confirmation number at the end?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
Check if a long wait (60+ minutes) was compensated by extra care...,HYBRID,hybrid,instruction,medium,,HYBRID
Did the conversation stay under 16 messages?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 16}",SYMBOLIC_COUNT
Flag if customer waited more than 5 hours.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 5, ""unit"": ""hours""}",SYMBOLIC_TIME
"Verify the agent greeted the customer, apologized, and did not drift away from the billing error topic...",SEMANTIC_COMPREHENSION,llm_generated,instruction,light,,SEMANTIC
"If the call took place on phone and included a payment method change, judge whether the agent ensured the customer understood how it impacts the disputed balance.",HYBRID,llm_generated,instruction,none,,HYBRID
Check whether the agent left the customer with 'contact billing' and no cancellation action taken.,SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Did the agent open by acknowledging the customer’s wait due to shipping delay?,SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Check if the follow-up message recognizes the hassle and then explains next steps.,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Confirm the reply was delivered within 45 seconds.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 45, ""unit"": ""seconds""}",SYMBOLIC_TIME
Did agent mistakenly treat delay like lost luggage case?,SEMANTIC_COMPREHENSION,llm_generated,question,medium,,SEMANTIC
Ensure the agent ended the convo with next steps and a timeframe for the outage escalation.,SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Count the number of agent responses and compare to 14.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 14}",SYMBOLIC_COUNT
Did the team member get back within 11 hrs?,SYMBOLIC_TIME,time_explicit,question,light,"{""threshold"": 11, ""unit"": ""hrs""}",SYMBOLIC_TIME
Detect whether agent acknowledged customer’s situation before escalating.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
"When the exchange includes 2+ follow-up questions from the customer, did the agent respond with courtesy and professionalism?",HYBRID,llm_generated,question,none,,HYBRID
Did agent start the resolution update without acknowledging the breach notification? Flag if missing.,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Flag drawn-out conversations...,SYMBOLIC_COUNT,count_implicit,instruction,heavy,"{""threshold"": 12}",SYMBOLIC_COUNT
What is this customer's average subscription history across all tickets?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Was the turn count greater than 9?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 9}",SYMBOLIC_COUNT
Confirm the agent opened the interaction by stating who they are and acknowledging the customer’s cancellation intent.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
"Check for a proper start: agent identifies self/team + acknowledges data breach notification, especially when presenting the resolution.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Evaluate based on the customer's past usage interactions across 5 tickets.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Did the customer come back with the same support ticket issue within 30 days?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Did the totql number of mesaages go above 50?,SYMBOLIC_COUNT,count_explicit,question,medium,"{""threshold"": 50}",SYMBOLIC_COUNT
Determine whether the agent used validating language when handing off the reset link and instructions.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Can we verify the customer's account balance against ERP?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"If customer was upset about delay, did agent acknowledge frustration then confirm what they need?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Has the customer filed more than 5 subscription requests before?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
assess handling appropriateness for 'complaint' cases.,HYBRID,hybrid,instruction,heavy,,HYBRID
Track conversations exceeding the 18 message mark.,SYMBOLIC_COUNT,count_moderate,instruction,light,"{""threshold"": 18}",SYMBOLIC_COUNT
Has the customer filed more than 3 billing requests before?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Confirm the agent addressed customer’s concerns before closing with resolution.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Did the agent clearly confirm they heard the account is locked?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Determine if agent communicated with patience and respect during outage escalation request.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Check if a manager followed up with the guest and resolved the complaint.,UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
Did agent keep it human while explaining next steps on defect follow-up,SEMANTIC_TONE,llm_generated,instruction,medium,,SEMANTIC
Detect whether the agent actively listened rather than giving canned replies.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
"On escalated product return tickets handled across multiple channels (chat then email), evaluate whether the greeting stayed consistent and professional across channel switches.",HYBRID,llm_generated,instruction,none,,HYBRID
"Confirm the agent summarized the issue + next steps, no gaps.",SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
Was there more than a 45 minutes gap before the response?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 45, ""unit"": ""minutes""}",SYMBOLIC_TIME
"Review the first 2 messages: did agent identify themself, acknowledge the account is locked, and reflect customer intent to escalate? Must be present, not implied.",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"Check for conditional guidance: if user can’t access email/phone, did agent offer alternatives",SEMANTIC_SOLUTION,llm_generated,instruction,medium,,SEMANTIC
"uf the ticket was handled on chat, chrck whethet the agent offered actiobable next steps rather than generic app;ogors for the billing dispute.",HYBRID,llm_generated,instruction,light,,HYBRID
Did the agent send more than 25 replies...,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 25}",SYMBOLIC_COUNT
Forecast the customer's billing trend over the next 90 days.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Inspect the thread for more than 16 exchanges.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 16}",SYMBOLIC_COUNT
"For tickets where the customer mentions a billing dispute while canceling, did the agent respond with courtesy and professionalism?",HYBRID,llm_generated,question,none,,HYBRID
Will this customer leave negative feedback in the next quarter?,UNSUPPORTED,unsupported,question,medium,,UNSUPPORTED
Determine if the agent's responses felt robotic or caring during the first steps of delay troubleshooting.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
"Determine if agent recognized customer wanted a supervisor/next level because outage persists, not just status update.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Did more than 3 replies get sent by the agent?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 3}",SYMBOLIC_COUNT
"For 'vip' tickets, was the response quality adequate?",HYBRID,hybrid,question,none,,HYBRID
"If internal notes exist, assess whether the agent’s closing avoided blame and still offered ongoing support.",HYBRID,llm_generated,instruction,none,,HYBRID
"Check if agent, after delivering the password reset steps, asked whether there’s anything else they can assist with.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"If the passenger says they’re panicking, does the agent respond with reassurance before troubleshooting steps?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Was the conversation wrapped up before hitting 13 messages?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 13}",SYMBOLIC_COUNT
Did the first reply take less than 7 min?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 7, ""unit"": ""min""}",SYMBOLIC_TIME
Did the agent correctly identify the customer’s reason for requesting escalation during the service outage?,SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
"When internal notes are present but contradict the agent’s message, evaluate whether the closing still feels trustworthy and provides a sensible follow-up.",HYBRID,llm_generated,instruction,none,,HYBRID
Evaluate based on the customer's past complaint interactions across 20 tickets.,UNSUPPORTED,unsupported,instruction,medium,,UNSUPPORTED
Did the conversation have more than 19 turns?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 19}",SYMBOLIC_COUNT
"Evaluate whether the agent, upon delivering the breach notification resolution, clearly indicated the case was handled, invited additional questions, and ended the interaction in a considerate manner without sounding rushed.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"If the customer said “I just want my money back,” did the agent respond with understanding before troubleshooting??",SEMANTIC_TONE,llm_generated,question,light,,SEMANTIC
Did the agent respond with impatience at the start?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Did the turnaround on the first reply stay under 300 hours?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 300, ""unit"": ""hours""}",SYMBOLIC_TIME
Can we verify the customer's payment method against CRM?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Was the customer contacted back within 45 minutes?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 45, ""unit"": ""minutes""}",SYMBOLIC_TIME
Did the agent ask clarifying questions and summarize the lockout issue before escalating?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Was there a response within 60 minutes?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 60, ""unit"": ""minutes""}",SYMBOLIC_TIME
"If resolution time was between 30 and 90 minutes, did the agent capture the customer’s upgrade requirements clearly?",HYBRID,llm_generated,question,none,,HYBRID
"When the ticket is an email thread with 3+ messages, evaluate whether the agent provided a thorough, easy-to-follow breakdown of the disputed charges.",HYBRID,llm_generated,instruction,light,,HYBRID
assess whether the response was prompt.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 21, ""unit"": ""min""}",SYMBOLIC_TIME
Was the agent patient when customer was upset and still kept the escalation details correct?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Detect if the agent’s last message included both empathy and an offer for more assistance.,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Detect if the agent’s opening apology aligns exactly with customer’s billing error claim.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"If the conversation took more than 45 exchanges, did the agent remain patient?",HYBRID,hybrid,question,none,,HYBRID
"Detect whether the agent’s first message in resolution delivery properly sets context: acknowledges the breach notice, identifies themselves, and takes ownership of handling it, even if the customer didn’t explicitly restate the breach details.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
"If resolution time was under 30 minutes, judge whether the agent understood the customer’s requested outcome (refund vs exchange) without forcing repetition.",HYBRID,llm_generated,instruction,none,,HYBRID
"Check if agent validated emotions, then asked the right troubleshooting questions (airport, flight number, connection) to move things forward.",SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
Did the team member get back within 15 hours?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 15, ""unit"": ""hours""}",SYMBOLIC_TIME
"When resolution time exceeded 12 hours and the cusotmer provided photos or order details, assess whether the agent demonstrated understanding by referencing the correct evidence.",HYBRID,llm_generated,instruction,medium,,HYBRID
Detect whether agent validated customer’s frustration about the flight delay.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Assess whether the agent's wording during resolution delivery was fitting once the customer expressed frustration about losing their password.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
"Based on this cpnveesatiob, wi;; the customrr's comyavt prefeeenxes change?",UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"For VIP return tickets, check whether the greeting used the customer’s name (when available) and felt respectful.",HYBRID,llm_generated,instruction,light,,HYBRID
"If interbal notes arw peeseny, did the clisimg feel xustimer-centered rathrr rhan purely procedursl, invludibg a folkow-up offwe",HYBRID,llm_generated,instruction,heavy,,HYBRID
Audit the response against the 23 sec standard.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 23, ""unit"": ""sec""}",SYMBOLIC_TIME
Verofy 'urgent' tickrts rexrived appropriate urgrncy.,HYBRID,hybrid,instruction,light,,HYBRID
"determine whether agent explicitly noted the customer was frustrated, then moved into resolution delivery.",SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
"Detect whether agent’s final lines were messy / unclear after the resolution, like missing next steps or not asking if anything else is needed.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"In the greeting, did the agent apologize and confirm the billing error details (amount/date) as stated?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Confirm the thread had fewer than 10 messages.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 10}",SYMBOLIC_COUNT
Did the guest accept the rebooking option and receive a new confirmation number?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
Detect whether the agent’s wrap-up at resolution delivery was personalized to what data might be impacted.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
"For interactions with at least 2 long pauses (>5 minutes each), check whether the agent re-engaged with empathy instead of just transactional steps",HYBRID,llm_generated,instruction,light,,HYBRID
Check if agent apologized when response exceeded 20 minutes.,HYBRID,hybrid,instruction,light,,HYBRID
Did agent end it too abruptly after customer asked to escalate?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
inspect if the first reply came under 60 min.,SYMBOLIC_TIME,time_explicit,instruction,light,"{""threshold"": 60, ""unit"": ""min""}",SYMBOLIC_TIME
"Did agent give a real path forward, or just say “try again later”?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Did the agent accurately identify the customer’s reason for canceling before offering alternatives?,SEMANTIC_COMPREHENSION,llm_generated,question,medium,,SEMANTIC
"If it’s a follow-up on a defective product, determine whether the agent properly stated identity/role and acknowledged the issue before explaining next steps.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Detect whether agent gave templated sympathy but no real escalation action.,SEMANTIC_SOLUTION,llm_generated,instruction,medium,,SEMANTIC
Did the agent start by blaming the carrier in the greeting?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Assess if follow-up provided a clear sequence of actions for customer to take.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
"If the customer mentioned this is urgent and annoying, did the agent acknowledge that before detailing how to reset the lost password (link/code, timing, what to do if email doesn’t arrive)?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Assess whether rhe agent mafe thw customer feel heard befpre teanaferring/esxslatung.,SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
Verify if the customer’s subscription to the airline’s membership program was active.,UNSUPPORTED,llm_generated,instruction,light,,UNSUPPORTED
"On chat, when the customer asked about refund timing, evaluate whether the agent gave a realistic estimate and managed expectations well.",HYBRID,llm_generated,instruction,none,,HYBRID
Was the passenger a frequent flyer with elite status at the time?,UNSUPPORTED,llm_generated,question,none,,UNSUPPORTED
"Check whether agent validated customer’s situation, not just read scripted breach info.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Was the issue handled in fewer than 14 replies?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 14}",SYMBOLIC_COUNT
Note if the response gap was wider than 29 hours.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 29, ""unit"": ""hours""}",SYMBOLIC_TIME
Did agent avoid cutting customer off and finish in a professional way?,SEMANTIC_CLOSING,llm_generated,question,medium,,SEMANTIC
"Evaluate whether the agent’s wording stayed respectful during an outage escalation request, even if customer was angry or demanding.",SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Was the customer contacted back within 24 seconds?,SYMBOLIC_TIME,time_explicit,question,medium,"{""threshold"": 24, ""unit"": ""seconds""}",SYMBOLIC_TIME
"Detect whehter agent got core issue: lost password, not billing...",SEMANTIC_COMPREHENSION,llm_generated,instruction,heavy,,SEMANTIC
Does the ticket have the 'sensitive' label?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""sensitive""}",SYMBOLIC_METADATA
"If customer asked to remove card info after breach notice, did agent provide the right resolution steps?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Detect whether the agent’s first message included an intro and acknowledgment.,SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Did the agent remain patient; no sarcasm or short answers during outage escalation?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
